 Title="Shock-Particle Simulation"
 Variables = Xp, Yp, Up, Vp, Tp, Time, Onoff
 Zone T="WENO Step=  248 Time=   500.0000E-03 " I=      10
         9.9335134453        -0.3187877953        46.6263455980        -0.1823550569       190.8423687938         0.5000000000 1
         9.8940006493        -0.2724076917        46.5829959606        -0.1537366300       190.9734646891         0.5000000000 1
         9.8668684255        -0.2231034482        46.5603445513        -0.1214249784       190.9886897097         0.5000000000 1
         9.8451106477        -0.1722777623        46.5534721181        -0.0887591113       190.9647211460         0.5000000000 1
         9.8250394221        -0.1198833259        46.5397724553        -0.0532886257       190.8978831636         0.5000000000 1
         9.4210778127         0.3186930418        46.6877240924         0.3622950718       193.0519730375         0.5000000000 1
         9.5000361639         0.3553093294        46.7543190763         0.3724045711       192.8859622108         0.5000000000 1
         9.5857368494         0.3888188260        46.8348331798         0.3739758802       192.5253676003         0.5000000000 1
         9.6664346750         0.4224547009        46.9042521195         0.3778424907       192.2298843366         0.5000000000 1
         9.7586569288         0.4518027243        46.9923119055         0.3719038260       192.0350564325         0.5000000000 1
